unidade;ano;mes;leito_dia;leito_operaciol_sem_extra
CHPB;2025,0;1,0;2836,0;2836,0
CHPB;2025,0;2,0;2520,0;2520,0
CHPB;2025,0;3,0;2789,0;2789,0
CHPB;2025,0;4,0;2653,0;2653,0
CHPB;2025,0;5,0;2718,0;2718,0
CHPB;2025,0;6,0;2593,0;2593,0
CHPB;2025,0;7,0;2666,0;2666,0
CHPB;2025,0;8,0;2635,0;2635,0
CHPB;2025,0;9,0;2484,0;2484,0
CHPB;2025,0;10,0;2294,0;2294,0
CSPD;2025,0;1,0;1240,0;1240,0
CSPD;2025,0;2,0;1120,0;1120,0
CSPD;2025,0;3,0;1220,0;1220,0
CSPD;2025,0;4,0;1074,0;1074,0
CSPD;2025,0;5,0;1088,0;1088,0
CSPD;2025,0;6,0;960,0;960,0
CSPD;2025,0;7,0;992,0;992,0
CSPD;2025,0;8,0;992,0;992,0
CSPD;2025,0;9,0;960,0;960,0
CSPD;2025,0;10,0;992,0;992,0
CSSFA;2025,0;1,0;1550,0;1550,0
CSSFA;2025,0;2,0;1220,0;1220,0
CSSFA;2025,0;3,0;1240,0;1240,0
CSSFA;2025,0;4,0;1200,0;1200,0
CSSFA;2025,0;5,0;1372,0;1370,0
CSSFA;2025,0;6,0;1500,0;1500,0
CSSFA;2025,0;7,0;1551,0;1550,0
CSSFA;2025,0;8,0;1530,0;1529,0
CSSFA;2025,0;9,0;1291,0;1290,0
CSSFA;2025,0;10,0;1333,0;1333,0
CSSFE;2025,0;1,0;;
CSSFE;2025,0;2,0;;
CSSFE;2025,0;3,0;;
CSSFE;2025,0;4,0;;
CSSFE;2025,0;5,0;;
CSSFE;2025,0;6,0;;
CSSFE;2025,0;7,0;;
CSSFE;2025,0;8,0;;
CSSFE;2025,0;9,0;;
CSSFE;2025,0;10,0;;
CSSI;2025,0;1,0;1568,0;1550,0
CSSI;2025,0;2,0;1441,0;1400,0
CSSI;2025,0;3,0;1488,0;1450,0
CSSI;2025,0;4,0;1412,0;1404,0
CSSI;2025,0;5,0;1459,0;1457,0
CSSI;2025,0;6,0;1460,0;1439,0
CSSI;2025,0;7,0;1554,0;1488,0
CSSI;2025,0;8,0;1350,0;1250,0
CSSI;2025,0;9,0;1587,0;1465,0
CSSI;2025,0;10,0;1724,0;1612,0
HAC;2025,0;1,0;2500,0;2496,0
HAC;2025,0;2,0;2312,0;2302,0
HAC;2025,0;3,0;2566,0;2551,0
HAC;2025,0;4,0;2506,0;2480,0
HAC;2025,0;5,0;2560,0;2535,0
HAC;2025,0;6,0;2496,0;2476,0
HAC;2025,0;7,0;2566,0;2536,0
HAC;2025,0;8,0;2586,0;2550,0
HAC;2025,0;9,0;2501,0;2477,0
HAC;2025,0;10,0;2600,0;2557,0
HCM;2025,0;1,0;1330,0;1330,0
